kalimat,type
memproses aliran data waktu nyata dalam azure,nm
kursus ini adalah bagian dari sertifikat program profesional microsoft dalam data besar. ingin menangkap dan memproses data waktu nyata di cloud kursus analisis data ini mengajarkan Anda bagaimana menggunakan teknologi microsoft biru seperti hub acara hub iot dan analisis aliran untuk membangun real time internet dari hal-hal iot solusi dalam skala besar. Catatan untuk menyelesaikan kursus ini Anda akan membutuhkan langganan microsoft biru. Anda dapat mendaftar untuk berlangganan uji coba gratis di http azure.microsoft.com atau Anda dapat menggunakan langganan yang ada. laboratorium telah dirancang untuk meminimalkan biaya sumber daya yang diperlukan untuk menyelesaikan berbagai kegiatan.,dm
menangkap data waktu nyata dengan hub kejadian biru dan hub iot memproses data waktu nyata dengan data agregasi aliran biru di data sementara pemantauan solusi streaming di biru,cp
Mendalangi big data dengan pabrik data biru,nm
kursus ini adalah bagian dari sertifikat program profesional microsoft dalam data besar. perlu menjadwalkan dan mengelola alur kerja data besar. Kursus analisis data ini mengajarkan Anda cara menggunakan pabrik data biru untuk mengoordinasikan pergerakan data dan transformasi menggunakan teknologi seperti hadoop sql dan analisis data danau biru. Anda akan belajar cara membuat jaringan pipa data yang akan memungkinkan Anda untuk mengelompokkan kegiatan untuk melakukan tugas tertentu. Catatan untuk menyelesaikan kursus ini Anda akan membutuhkan langganan microsoft biru. Anda dapat mendaftar untuk berlangganan uji coba gratis di http azure.microsoft.com atau Anda dapat menggunakan langganan yang ada. laboratorium telah dirancang untuk meminimalkan biaya sumber daya yang diperlukan untuk menyelesaikan berbagai kegiatan.,dm
membuat alur kerja data dengan aliran data pabrik data penjadwalan biru untuk mengatur proses data besar yang menerapkan transformasi data dalam saluran pipa dengan sarang atau u sql,cp
pengantar data besar,nm
kursus ini adalah bagian dari sertifikat program profesional microsoft dalam data besar. pelajari apa yang diperlukan untuk membangun solusi analitik data besar. ini adalah pemberhentian pertama dalam kurikulum big data dari microsoft. itu akan membantu Anda memulai dengan rencana kurikulum jadwal belajar Anda dan terhubung dengan sesama siswa dan asisten pengajar. sepanjang jalan Anda akan mendapat pengenalan untuk bekerja dengan data dan beberapa konsep dasar dan teknologi untuk skenario data besar.,dm
bagaimana kurikulum data besar microsoft bekerja pengantar untuk format data teknologi dan teknik dasar-dasar dasar-dasar prinsip-prinsip dasar untuk bekerja dengan data besar,cp
pembelajaran yang mendalam dijelaskan,nm
kursus ini adalah bagian dari program profesional microsoft dalam kecerdasan buatan. Pembelajaran mesin menggunakan komputer untuk menjalankan model prediktif yang belajar dari data yang ada untuk meramalkan hasil dan tren perilaku di masa depan. pembelajaran mendalam adalah sub bidang pembelajaran mesin di mana model yang terinspirasi oleh bagaimana otak kita bekerja dinyatakan secara matematis dan parameter yang mendefinisikan model matematika yang dapat berada di urutan beberapa ribu hingga 100+ juta dipelajari secara otomatis dari data. pembelajaran mendalam adalah kunci yang memungkinkan teknologi bertenaga ai dikembangkan di seluruh dunia. dalam kursus belajar mendalam ini Anda akan belajar pendekatan intuitif untuk membangun model kompleks yang membantu mesin memecahkan masalah dunia nyata dengan kecerdasan seperti manusia. pendekatan intuitif akan diterjemahkan ke dalam kode kerja dengan masalah praktis dan pengalaman langsung. Anda akan belajar bagaimana membangun dan menurunkan wawasan dari model-model ini menggunakan notebook python jupyter yang berjalan di jendela lokal Anda atau mesin linux atau pada mesin virtual yang berjalan di azure. atau Anda dapat memanfaatkan platform notebook microsoft biru secara gratis. kursus ini memberikan tingkat detail yang diperlukan untuk memungkinkan para insinyur ilmuwan data teknologi untuk mengembangkan pemahaman intuitif dari konsep-konsep kunci di balik teknologi perubahan permainan ini. pada saat yang sama Anda akan mempelajari motif  yang sederhana namun kuat yang dapat digunakan dengan fleksibilitas seperti lego untuk membangun sebuah model pembelajaran akhir ke akhir. Anda akan belajar bagaimana menggunakan toolkit kognitif microsoft  - yang sebelumnya dikenal sebagai cntk  - untuk memanfaatkan kecerdasan dalam kumpulan data besar melalui pembelajaran mendalam dengan kecepatan dan akurasi skala tanpa kompromi. Alex menawarkan bantuan keuangan untuk pelajar yang ingin mendapatkan sertifikat terverifikasi tetapi yang mungkin tidak mampu membayar biayanya. untuk mengajukan permohonan bantuan keuangan untuk mendaftar di kursus lalu ikuti tautan ini untuk menyelesaikan permohonan bantuan.,dm
komponen jaringan saraf yang dalam dan bagaimana mereka bekerja bersama jenis dasar jaringan saraf dalam mlp cnn rnn lstm dan jenis data masing-masing dirancang untuk pengetahuan yang bekerja konsep kosakata dan algoritma yang digunakan dalam pembelajaran mendalam bagaimana membangun akhir untuk model akhir untuk mengenali gambar-gambar angka yang ditulis tangan menggunakan regresi logistik multi-kelas dan mlp multi layered perceptron model jaringan neural konvolusi cnn untuk peningkatan pengenalan digit dan model jaringan neural rekursif rnn untuk meramalkan data deret waktu dan model memori jangka pendek jangka panjang untuk memproses sekuensial data teks,cp
mengamankan data dalam server biru dan sql,nm
"kursus ini adalah bagian dari program profesional microsoft dalam cybersecurity. Karena peran yang semakin luas dari administrator database sql server di lanskap keamanan sekarang, sangat penting untuk mengetahui bagaimana menjaga data tetap aman. dalam kursus ini bergabunglah dengan para ahli untuk melihat otentikasi pengguna  - yang penggunanya adalah  - dan otorisasi  - apa yang diizinkan untuk mereka lakukan. plus cari tahu tentang pengauditan akses sistem dan enkripsi data untuk memastikan data Anda diamankan dengan benar. Anda akan memeriksa topik ini melalui lensa berbagai platform yang membandingkan apa yang mereka tampak seperti di server sql 2016 sql server v.next pada linux dan database sql biru. kursus ilmu komputer ini memperkenalkan fitur dan teknologi untuk mengamankan basis data. topik termasuk mengautentikasi pengguna dan koneksi yang memberi wewenang kepada pengguna untuk mengakses sumber daya yang mengaudit akses ke data dan mengenkripsi data. Anda akan belajar bagaimana mengamankan data dalam sql server 2016 sql server v.next pada linux dan database sql biru.",dm
Anda akan belajar bagaimana mengotentikasi koneksi dan login pengguna bagaimana mengotorisasi pengguna untuk mengakses sumber daya bagaimana mengaudit akses ke data bagaimana mengenkripsi data saat istirahat dan melalui kawat,cp
belajar penguatan dijelaskan,nm
kursus ini adalah bagian dari program profesional microsoft dalam kecerdasan buatan. pembelajaran penguatan rl adalah bidang pembelajaran mesin di mana agen belajar dengan berinteraksi dengan lingkungannya untuk mencapai suatu tujuan. dalam kursus ini Anda akan diperkenalkan ke dunia pembelajaran penguatan. Anda akan belajar bagaimana membingkai masalah belajar penguatan dan mulai menangani contoh-contoh klasik seperti rekomendasi berita belajar untuk bernavigasi di dunia grid dan menyeimbangkan tiang kereta. Anda akan mengeksplorasi algoritma dasar dari multi-bandit dinamis pemrograman td pembelajaran perbedaan temporal dan kemajuan menuju ruang negara yang lebih besar menggunakan pendekatan fungsi khususnya menggunakan pembelajaran mendalam. Anda juga akan belajar tentang algoritma yang berfokus pada pencarian kebijakan terbaik dengan gradien kebijakan dan metode kritik aktor. sepanjang jalan Anda akan diperkenalkan ke proyek malmo platform untuk eksperimen kecerdasan buatan dan penelitian yang dibangun di atas game minecraft.edx menawarkan bantuan keuangan bagi peserta didik yang ingin mendapatkan sertifikat terverifikasi tetapi yang mungkin tidak dapat membayar biaya. untuk mengajukan permohonan bantuan keuangan untuk mendaftar di kursus lalu ikuti tautan ini untuk menyelesaikan permohonan bantuan.,dm
penguatan belajar masalah proses pengambilan keputusan markov bandit pemrograman dinamis perbedaan temporal belajar pendekatan perkiraan metode kebijakan gradien dan aktor kritik rl yang bekerja,cp
pengantar kecerdasan buatan ai,nm
kursus ini adalah bagian dari program profesional microsoft dalam kecerdasan buatan. Kecerdasan buatan akan menentukan generasi solusi perangkat lunak berikutnya. kursus ilmu komputer ini memberikan gambaran umum tentang ai dan menjelaskan bagaimana hal itu dapat digunakan untuk membangun aplikasi pintar yang membantu organisasi menjadi lebih efisien dan memperkaya kehidupan orang banyak. ia menggunakan campuran dari ceramah yang menarik dan aktivitas yang dilakukan untuk membantu Anda mengambil langkah pertama dalam bidang yang menarik dari ai.discover bagaimana pembelajaran mesin dapat digunakan untuk membangun model prediktif untuk ai. pelajari bagaimana perangkat lunak dapat digunakan untuk memproses analisis dan mengekstraksi makna dari bahasa alami dan untuk memproses gambar dan video untuk memahami dunia seperti yang kita lakukan. cari tahu cara membuat bot cerdas yang memungkinkan komunikasi percakapan antara manusia dan sistem ai. Perhatikan unsur-unsur praktis dari kursus ini didasarkan pada microsoft biru dan memerlukan langganan biru. petunjuk untuk mendaftar langganan uji coba gratis disediakan dengan materi kursus atau Anda dapat menggunakan langganan biru yang ada jika Anda memiliki satu.edx menawarkan bantuan keuangan untuk pelajar yang ingin mendapatkan sertifikat terverifikasi tetapi yang mungkin tidak dapat membayar biaya . untuk mengajukan permohonan bantuan keuangan untuk mendaftar di kursus lalu ikuti tautan ini untuk menyelesaikan permohonan bantuan.,dm
Dalam kursus ini Anda akan belajar bagaimana membangun model pembelajaran mesin sederhana dengan pembelajaran mesin biru menggunakan python dan layanan kognitif microsoft untuk bekerja dengan gambar pidato teks dan video menggunakan kerangka bot microsoft untuk menerapkan bot percakapan.,cp
pengantar pemula mutlak python,nm
"kursus ini adalah bagian dari program profesional microsoft dalam pengembangan perangkat lunak tingkat entri. yang baru untuk pemrograman berbasis teks memeriksa tangan ini di jalur untuk melihat secara mendalam rincian lapisan dan konsep python. dapatkan latihan latihan yang cukup dan proyek menggunakan notebook jupyter di azure yang hanya membutuhkan browser dan koneksi internet. mempelajari praktik terbaik dan memulai pengkodean segera. setelah Anda menjelajahi tipe data dan variabel, lihat pengujian dan pemformatan string string. dari sana belajar tentang argumen dan parameter bersama dengan conditional dan conditional bersarang. pada akhir kursus, Anda akan dapat membuat program yang meminta pengguna untuk memasukkan dan menggunakan metode logika palsu dan python bersyarat yang benar untuk memanipulasi angka dan teks untuk memberikan tanggapan kepada pengguna selain meminta masukan lebih lanjut. plus belajar pemecahan masalah dasar untuk kode Anda. daftar dan mulai coding segera siap untuk langkah selanjutnya mengambil pengantar kursus dasar python.",dm
menggunakan python di notebook jupyter mengumpulkan input dan memanipulasi input output membangun fungsi reusable dengan parameter dan mengembalikan nilai-nilai keputusan dan pengulangan menggunakan pernyataan kondisional dan loop,cp
orientasi profesional microsoft front end pengembangan web,nm
kursus ini adalah bagian dari sertifikat program profesional microsoft dalam pengembangan web ujung depan. kursus orientasi dirancang untuk memperkenalkan siswa ke disiplin pengembang web front end dengan memperkenalkan berbagai teknologi yang digunakan programmer komputer saat membuat situs web. teknologi ini berfokus pada aspek pengembangan web yang merupakan bagian dari ujung depan aplikasi web yang lebih khusus mengkode eksekusi pada komputer klien daripada di server. kursus ini adalah mahasiswa kursus pertama yang diambil sebagai bagian dari program pengembang microsoft profesional ujung depan web. ini akan memperkenalkan topik-topik yang akan menjadi bagian dari kerja kursus di seluruh program. siswa akan mendapatkan pemahaman tentang teknologi dan memiliki kesempatan untuk menjelajahi beberapa kode dan alat pengembang untuk bekerja di aplikasi web.,dm
apa pengembangan front end web adalah semua tentang bahasa yang berbeda yang digunakan dalam arena pengembangan ini belajar tentang kerangka yang digunakan saat ini dan bagaimana mereka berlaku untuk pengembangan web mencoba beberapa alat yang tersedia untuk pengembang web,cp
pengantar ke naskah 2,nm
"kursus ini adalah bagian dari sertifikat program profesional microsoft dalam pengembangan web ujung depan. ingin menulis kode terorganisir untuk situs web Anda yang dapat dengan mudah Anda kelola dan pertahankan naskahnya adalah jawaban untuk membangun aplikasi web skalabel. naskah memungkinkan Anda menulis javascript seperti yang Anda inginkan. typescript adalah superset dari javascript yang dikompilasi ke javascript biasa. ini berfungsi di browser apa pun. host apa saja. os apapun. naskah adalah sumber terbuka dan telah menarik perhatian komunitas besar pengembang web yang terus berkontribusi terhadap kekayaan bahasa menjadikannya bahasa untuk pengembangan web. typescript membawa semua fitur generasi berikutnya dari ecmascript 6 seperti fungsi panah dekorator generik modul dan antarmuka. dalam kursus ini Anda akan mempelajari semua dasar-dasar naskah dan akan memiliki tangan menggunakan fitur-fitur naskah seperti jenis-jenis antarmuka dan modul-modul jenis statis opsional. Anda akan belajar bagaimana naskah telah memecahkan banyak masalah yang dialami oleh para pengembang dengan javascript. Anda akan belajar bagaimana naskah telah membuat pengembangan web lebih menyenangkan dan lebih mudah. Anda akan melakukan semua ini dengan menggunakan versi bahasa terbaru yang dirilis 2.3. Tentu saja ini akan mencakup semua yang perlu Anda ketahui untuk bangun dan menjalankan dan mulai membangun situs web fungsional menggunakan naskah 2,2 nwe berasumsi bahwa Anda memiliki pemahaman umum baik javascript atau bahasa pemrograman lain. kursus ini tidak akan mengajari Anda javascript atau dasar-dasar pemrograman jadi jika Anda belum diprogram sebelumnya pastikan untuk menyisihkan waktu ekstra sehingga Anda dapat menjelajahi beberapa konsep dasar dan keterampilan yang mungkin asing bagi Anda. oop pengalaman pemrograman berorientasi objek tidak diperlukan tetapi merupakan plus besar untuk memahami konsep-konsep seperti kelas dan warisan dalam naskah. keakraban dengan html juga sangat membantu untuk kursus ini. Jika Anda sudah familiar dengan javascript, banyak konsep dalam naskah akan familiar tetapi kami akan mencakup beberapa konsep yang mungkin baru bagi Anda dan menunjukkan kepada Anda bagaimana naskah dapat meningkatkan pemrograman javascript Anda. nknowing typescript menjadi lebih dan lebih harus memiliki keterampilan untuk pengembangan web karena banyak perpustakaan pengembangan web sekarang menggunakan naskah. misalnya naskah adalah keharusan ketika harus menggunakan sudut 2 dalam aplikasi web. naskah juga dapat digunakan dalam aplikasi sisi server. mengetahui naskah adalah cara Anda untuk menjadi pengembang tumpukan penuh. Oleh karena itu jika Anda mempertimbangkan karir di naskah pengembangan web adalah roda gigi penting dalam kotak alat atau skillset Anda.",dm
jenis dalam typescript programming di typescript modules dan namespaces opik yang tadvanced dalam naskah n,cp
pengantar reactjs,nm
kursus ini adalah bagian dari sertifikat program profesional microsoft di front end web development.reactjs adalah kerangka kerja javascript terbaru untuk menangkap hati dan perhatian komunitas pengembang frontend. pengembang menyukai reaksi karena sangat berkinerja dan membuat perubahan hampir seketika. bagian terbaik tentang reactjs adalah bahwa ini adalah kerangka yang relatif kecil dan tidak membutuhkan waktu terlalu banyak untuk belajar mulai dengan dasar-dasar sintaks jsx kursus ini akan mengajari Anda bagaimana memodelkan komponen ui menggunakan komponen-komponen reaksi. pada akhirnya Anda harus mampu mengelola keadaan dan siklus hidup komponen-komponen reaksi dan menggunakannya untuk secara dinamis menghasilkan daftar dan bentuk.,dm
cara menggunakan sintaks jsx untuk membuat elemen reaksi bagaimana membangun aplikasi bereaksi menggunakan komponen reaksi bagaimana mengatur metode keadaan dan siklus hidup komponen reaksi bagaimana membuat daftar dan bentuk menggunakan komponen reaksi,cp
bereaksi router dan redux,nm
kursus ini adalah bagian dari sertifikat program profesional microsoft dalam pengembangan web ujung depan. apakah Anda pernah bertanya-tanya bagaimana aplikasi bereaksi kompleks dibuat bereaksi dengan sendirinya cukup bareboned dan doesn t datang dengan banyak fitur di luar fungsi intinya. perpustakaan pihak ketiga seperti router bereaksi dan redux digunakan untuk menambahkan fungsionalitas tambahan ke aplikasi reaktivasi Anda. router bereaksi menawarkan solusi sederhana untuk penanganan routing. Anda dapat menggunakannya untuk secara dinamis mengubah aplikasi Anda berdasarkan url saat ini. redux menawarkan solusi hebat untuk mengatur perubahan ke status aplikasi Anda. ia melakukannya dengan menggunakan metode pengiriman tindakan yang mengubah keadaan saat ini. pada akhir kursus ini Anda akan belajar bagaimana menggunakan router bereaksi dan redux untuk meningkatkan aplikasi bereaksi Anda dan membuatnya lebih terukur.,dm
menangani routing menggunakan router bereaksi menyederhanakan manajemen negara menggunakan redux mengintegrasikan redux dengan aplikasi reaksi yang ada,cp
dasar-dasar angular,nm
kursus ini adalah bagian dari sertifikat program profesional microsoft dalam pengembangan web ujung depan. dalam kursus ini Anda akan belajar tentang dasar-dasar cara kerja sudut dan mengapa sudut telah muncul sebagai kerangka kerja populer untuk pengembangan aplikasi naskah javascript. Anda juga akan belajar bagaimana mengatur lingkungan pengembangan Anda dengan benar untuk membuat aplikasi sudut termasuk menginstal vs kode node.js typescript dan cli sudut.,dm
memahami sudut dan cara kerjanya cara mengatur lingkungan pengembangan typescript dalam bentuk sudut,cp
sudut maju,nm
kursus ini adalah bagian dari sertifikat program profesional microsoft dalam pengembangan web ujung depan. dalam kursus ini Anda akan membangun pengetahuan mendasar Anda yang melingkar dengan menerapkan formulir dan menggali lebih dalam komponen rejj rxjs dan belajar bagaimana bekerja dengan universal dan membangun produksi. bergantung pada pengetahuan dasar yang disajikan dalam dasar-dasar angular,dm
bentuk-bentuk konsep sudut yang canggih dengan komponen-komponen lanjutan angjangan yang bekerja dengan produksi yang dibangun,cp
microsoft sharepoint 2016 otentikasi dan keamanan,nm
kursus ini adalah bagian dari program profesional microsoft di cybersecurity.in microsoft sharepoint 2016 otentikasi dan keamanan Anda akan belajar bagaimana merencanakan dan mengkonfigurasi titik berbagi pada solusi premis untuk berbagai tingkat otentikasi dan persyaratan keamanan untuk membantu melindungi lingkungan. Anda juga akan belajar tentang persyaratan perangkat keras dan perangkat lunak yang diperlukan dan metodologi keseluruhan untuk berbagi keamanan. kursus ini adalah bagian dari microsoft sharepoint server 2016 xseries.,dm
merencanakan dan mengkonfigurasi otentikasi berdasarkan proses infrastruktur dan manajemen metode rencana perizinan dan konfigurasi platform dan manajemen keamanan pertanian dari penyediaan profil pengguna dan konfigurasi aplikasi web,cp
keamanan di kantor 365,nm
kursus ini adalah bagian dari program profesional microsoft dalam keamanan cybersecurity.in di office 365 reg Anda akan belajar bagaimana merencanakan menerapkan dan mengelola fitur keamanan kantor 365 di organisasi Anda. pusat keamanan dan kepatuhan di kantor 365 menawarkan berbagai macam fitur keamanan untuk melindungi pengguna dan data Anda di kantor 365. Anda akan belajar tentang berbagai jenis ancaman yang dapat menargetkan organisasi Anda dan bagaimana fitur keamanan seperti ancaman ancaman perlindungan ancaman canggih audit dan manajemen keamanan tingkat lanjut akan melindungi data organisasi Anda di kantor 365.,dm
memahami ancaman dan pelanggaran data yang menargetkan data Anda. menerapkan perlindungan ancaman canggih 365 kantor. mengimplementasikan menggunakan intelijen ancaman kantor 365. mengkonfigurasi audit memperingatkan dan melaporkan di kantor 365. menggunakan manajemen keamanan tingkat lanjut di kantor 365,cp
itu mendukung fundamental,nm
"kursus ini merupakan bagian dari sertifikat program profesional microsoft di dalamnya. Dalam kursus ini, Anda akan diperkenalkan dan lebih memahami peran agen pendukungnya termasuk prioritas utama dan tanggung jawab utama. Anda akan mempelajari cara meningkatkan keterampilan dukungan Anda dengan berinteraksi dengan peran lain dan menguasai keterampilan kinerja tertentu. kursus kemudian memeriksa apa yang mempengaruhi perilaku pelanggan ketika berurusan dengan dukungan itu termasuk perbedaan budaya global dan gaya komunikasi. kursus diakhiri dengan pengantar untuk tahap dasar manajemen kasus dari penerimaan awal panggilan dukungan melalui pengembangan solusi dan penutupan. Ini adalah yang pertama dalam serangkaian empat kursus yang ditargetkan untuk individu yang mempertimbangkan pindah ke dukungan itu.",dm
memperkenalkan peran agen dukungan mengidentifikasi prioritas inti dan tanggung jawab utama dari agen dukungan meningkatkan keterampilan dukungan Anda dengan berinteraksi dengan peran lain mengidentifikasi keterampilan kinerja yang harus dikuasai oleh agen pendukung yang memahami apa yang mendorong perilaku pelanggan saat berinteraksi dengan agen dukungan untuk memeriksa bagaimana dimensi budaya dan gaya komunikasi mempengaruhi perilaku pelanggan belajar bagaimana budaya yang berbeda memandang waktu memeriksa tahap dasar itu mendukung manajemen kasus,cp
itu mendukung komunikasi,nm
kursus ini adalah bagian dari sertifikat program profesional microsoft di dalamnya mendukung. Kursus ini memberikan wawasan tentang keterampilan komunikasi dan ketajaman yang dibutuhkan untuk menjadi agen pendukung yang sukses. komunikasi yang efektif baik dengan pelanggan dan dengan sumber daya internal di perusahaan Anda sangat penting untuk keberhasilan siapa pun mempertimbangkan peran di dalamnya mendukung. kursus dimulai dengan tinjauan strategi komunikasi yang efektif yang akan membantu Anda mengembangkan hubungan dengan pelanggan Anda. Anda kemudian memeriksa cara-cara untuk terhubung dengan pelanggan Anda melalui obrolan email telepon dan media sosial termasuk demonstrasi empati dan berkomunikasi di tingkat keahlian pelanggan. Akhirnya Anda memeriksa bagaimana menghadapi pelanggan yang menantang dan bagaimana cara meredakan kemarahan pelanggan. pada penyelesaian kursus Anda akan memiliki apresiasi yang lebih besar untuk keterampilan komunikasi yang perlu dikembangkan oleh agen pendukung yang berhasil. Ini adalah yang kedua dalam serangkaian empat kursus yang ditargetkan untuk individu yang mempertimbangkan untuk pindah ke dukungan itu.,dm
memperkenalkan strategi komunikasi yang efektif mengembangkan hubungan dengan pelanggan Anda menafsirkan dan parafrase pelanggan pesan menunjukkan empati terhadap ulasan pelanggan Anda etiket percakapan praktik terbaik berkomunikasi di tingkat pelanggan yang membedakan antara pesan pelanggan implisit vs eksplisit memahami bagaimana menanggapi secara efektif melalui obrolan email telepon dan media sosial memuaskan pelanggan yang menantang dan meredakan kemarahan pelanggan,cp
ini mendukung pemecahan masalah,nm
"kursus ini adalah bagian dari sertifikat program profesional microsoft di dalamnya yang mendukung. Kursus ini adalah tindak lanjut dari yang mendukung fundamental dan menggali lebih dalam seluruh proses manajemen kasus  memandu Anda melalui setiap tahapan proses. Anda akan memeriksa praktik terbaik tentang cara menjadi pemecah masalah yang lebih efisien dan efektif termasuk melatih cara mengelola harapan pelanggan dan menangani keberatan pelanggan. kursus dimulai dengan tinjauan dasar langkah-langkah yang terlibat dalam pemecahan masalah kasus dukungan pelanggan dari penugasan kasus dan pelingkupan untuk validasi pengembangan solusi dan penutupan kasus. untuk mendukung proses pemecahan masalah, kursus ini memberikan tips dan trik untuk mengembangkan pemecahan masalah pemecahan masalah praktik terbaik dan mengelola harapan pelanggan. kursus diakhiri dengan melihat bagaimana menangani keberatan pelanggan terhadap solusi yang diusulkan. Kursus ini bukan kursus pemecahan masalah teknis yang berfokus pada pemecahan masalah produk tertentu tetapi memberikan pelatihan keterampilan lunak tingkat pengantar tentang cara efisien dan efektif memecahkan masalah dukungan apa pun dari produk. pada penyelesaian kursus siswa akan mendapatkan pengetahuan mendalam tentang langkah-langkah yang terlibat dalam pemecahan masalah pelanggan sepanjang siklus hidupnya. Ini adalah yang ketiga dalam serangkaian empat program yang ditargetkan untuk individu yang mempertimbangkan pindah ke itu mendukung.",dm
Tinjau langkah-langkah yang terlibat dalam pemecahan masalah kasus dukungan pelanggan memeriksa praktik terbaik saat menetapkan masalah dan bagaimana menangani misroutes memahami apa masalah pelingkupan adalah mengapa Anda harus mengatasi masalah dan langkah-langkah yang terlibat dalam pelingkupan kasus mengidentifikasi bagaimana menemukan solusi berdasarkan pada jenis insiden yang Anda hadapi saat berurusan dengan cara mengumpulkan bukti dan cara mempersempit penelitian Anda memahami cara melaksanakan rencana pemecahan masalah dari berkolaborasi dengan agen dukungan lain untuk mentransfer kasus ke peningkatan kasus belajar bagaimana memvalidasi solusi Anda mempertahankan kepuasan pelanggan dan menutup sebuah kasus memeriksa praktik terbaik pemecahan masalah termasuk bagaimana menggunakan matriks solusi analitis ketika mengembangkan solusi memahami bagaimana mengelola harapan pelanggan dan bagaimana mengelola keberatan pelanggan untuk solusi yang diusulkan,cp
itu mendukung dokumentasi,nm
kursus ini adalah bagian dari sertifikat program profesional microsoft di dalamnya yang mendukung. Kursus ini menyelam jauh ke dalam proses manajemen kasus dan bagaimana mengidentifikasi isu-isu kunci yang perlu didokumentasikan selama evolusi sebuah kasus. Anda akan memeriksa alasan mengapa dokumentasi sangat penting dalam bidang dukungannya dan mengapa sangat penting untuk menangkap semua sudut pandang dalam dokumentasi kasus dari agen dukungan kepada pelanggan dan sumber daya internal lainnya yang mungkin terlibat. Jika kursus dimulai dengan analisis tentang bagaimana mendokumentasikan berbagai jenis kasus dukungan dari kasus-kasus penasehat ke kasus-kasus reaktif ke kasus-kasus yang meningkat. kursus kemudian memperkenalkan Anda ke berbagai jenis alat yang digunakan untuk mendokumentasikan kasus. dan akhirnya kursus diakhiri dengan pemeriksaan berbagai jenis pertanyaan yang perlu ditanyakan oleh agen pendukung dan didokumentasikan berdasarkan situasi alur kerja tertentu. pada penyelesaian kursus siswa akan memiliki apresiasi yang lebih besar untuk pentingnya menjaga dokumentasi rinci dan akurat lengkap dan kapan dan bagaimana menerapkan pengetahuan itu. Ini adalah yang terakhir dalam serangkaian empat program yang ditargetkan untuk individu yang sedang mempertimbangkan pindah ke dukungan itu. kursus ini merupakan tindak lanjut dari kursus pemecahan masalah dukungannya.,dm
memahami apa yang dimaksud dengan kasus penasehat dan mengidentifikasi persyaratan utama yang harus didokumentasikan untuk kasus seperti itu memahami apa kasus reaktif dan mengidentifikasi persyaratan utama yang harus didokumentasikan untuk kasus seperti itu memahami persyaratan utama apa yang harus didokumentasikan ketika meningkat kasus serta kapan harus melakukan transfer hangat memeriksa jenis alat yang biasanya digunakan untuk menangkap data pelanggan mengidentifikasi pertanyaan utama yang harus ditanyakan selama fase yang berbeda dari siklus hidup manajemen kasus mengidentifikasi pertanyaan utama yang harus ditanyakan ketika menghadapi masalah khusus. situasi,cp
windows mendukung instalasi penting,nm
kursus ini adalah bagian dari sertifikat program profesional microsoft di dalamnya support.in kursus ilmu komputer ini Anda akan belajar bagaimana untuk mendukung tugas-tugas instalasi yang terkait dengan windows 10. Anda akan mengembangkan keterampilan yang termasuk belajar cara menginstal dan menyesuaikan windows 10 sistem operasi dan aplikasi dan konfigurasi browser web dan onedrive. Anda juga akan belajar tentang peningkatan dan migrasi ke windows 10. kursus ini merupakan bagian dari serangkaian program dukungan jendela yang difokuskan. ini ditujukan untuk individu yang bekerja dalam peran pendukungnya.,dm
mempersiapkan untuk menginstal windows 10 menginstal windows 10 mengkonfigurasi perangkat dan driver perangkat. melakukan posting konfigurasi konfigurasi tugas-tugas personalisasi windows 10 aplikasi implementasi,cp
windows mendukung pemeliharaan penting,nm
kursus ini adalah bagian dari sertifikat program profesional microsoft di dalamnya. Dalam kursus ini Anda akan belajar bagaimana mendukung tugas-tugas pemeliharaan yang terkait dengan windows 10. Anda akan mengembangkan keterampilan yang meliputi belajar bagaimana mengelola jaringan dan keamanan perangkat. Anda juga akan belajar tentang cadangan dan pemulihan serta bagaimana mengoptimalkan kinerja windows 10. kursus ini merupakan bagian dari serangkaian program dukungan jendela yang difokuskan. ini ditujukan untuk individu yang bekerja dalam peran pendukungnya.,dm
mengatur pembaruan windows. melakukan pemeliharaan dan kinerja sistem di windows 10 mengonfigurasikan pemulihan cadangan dan pemulihan sistem dan data di windows 10. mengkonfigurasi perangkat manajemen tingkat lanjut. deskripsikan teknik mitigasi dan penghindaran malware.,cp
windows mendukung konfigurasi penting,nm
kursus ini adalah bagian dari sertifikat program profesional microsoft di dalamnya support.in kursus ilmu komputer ini Anda akan belajar bagaimana mendukung tugas-tugas konfigurasi yang terkait dengan windows 10. Anda akan mengembangkan keterampilan yang termasuk mengelola file penyimpanan dan printer serta bagaimana mengkonfigurasi konektivitas jaringan untuk windows 10. Anda juga akan belajar bagaimana mengelola otorisasi dan otentikasi pengguna. kursus ini adalah bagian dari serangkaian program dukungan jendela yang difokuskan. ini ditujukan untuk individu yang bekerja dalam peran pendukungnya.,dm
konfigurasikan jaringan untuk windows 10. konfigurasikan penyimpanan untuk windows 10. konfigurasikan akses dan penggunaan data di windows 10. konfigurasikan remote management di windows 10. konfigurasikan otorisasi dan otentikasi.,cp
ini mendukung pemecahan masalah windows,nm
